	taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction
0	Acinetobacter	oilspill	1e-06	EX_acald_e	119.56402818090237	0.1	acald_e	export
8	Acinetobacter	oilspill	1e-06	EX_glyclt_e	0.0004745561421122144	0.1	glyclt_e	export
17	Acinetobacter	oilspill	1e-06	EX_xtsn_e	0.22073932045952915	0.1	xtsn_e	export
20	Acinetobacter	oilspill	1e-06	EX_h2o_e	56.408065774460965	0.1	h2o_e	export
21	Acinetobacter	oilspill	1e-06	EX_pacald_e	-100.0	0.1	pacald_e	import
23	Acinetobacter	oilspill	1e-06	EX_id3acald_e	-50.696824868585736	0.1	id3acald_e	import
25	Acinetobacter	oilspill	1e-06	EX_lys__L_e	-0.04732164134681256	0.1	lys__L_e	import
34	Acinetobacter	oilspill	1e-06	EX_thymd_e	-0.014667790639123268	0.1	thymd_e	import
42	Acinetobacter	oilspill	1e-06	EX_nh4_e	-100.0	0.1	nh4_e	import
45	Acinetobacter	oilspill	1e-06	EX_fe3_e	-0.0010767172715894656	0.1	fe3_e	import
56	Acinetobacter	oilspill	1e-06	EX_zn2_e	-4.7023641087603434e-05	0.1	zn2_e	import
59	Acinetobacter	oilspill	1e-06	EX_h2_e	-100.0	0.1	h2_e	import
63	Acinetobacter	oilspill	1e-06	EX_fe2_e	-0.0009259934014380633	0.1	fe2_e	import
68	Acinetobacter	oilspill	1e-06	EX_gthrd_e	-54.71767937675935	0.1	gthrd_e	import
75	Acinetobacter	oilspill	1e-06	EX_asp__L_e	115.02202659994364	0.1	asp__L_e	export
78	Acinetobacter	oilspill	1e-06	EX_fald_e	-100.0	0.1	fald_e	import
81	Acinetobacter	oilspill	1e-06	EX_thm_e	-3.0751530687211925e-05	0.1	thm_e	import
85	Acinetobacter	oilspill	1e-06	EX_pi_e	-28.209093704777274	0.1	pi_e	import
90	Acinetobacter	oilspill	1e-06	EX_ser__L_e	-100.0	0.1	ser__L_e	import
94	Acinetobacter	oilspill	1e-06	EX_mn2_e	-9.528837529160228e-05	0.1	mn2_e	import
96	Acinetobacter	oilspill	1e-06	EX_bz_e	0.00019068797951149463	0.1	bz_e	export
97	Acinetobacter	oilspill	1e-06	EX_arg__L_e	-0.04078949221286621	0.1	arg__L_e	import
98	Acinetobacter	oilspill	1e-06	EX_pyr_e	-84.72833948386881	0.1	pyr_e	import
107	Acinetobacter	oilspill	1e-06	EX_arab__L_e	100.0	0.1	arab__L_e	export
109	Acinetobacter	oilspill	1e-06	EX_man6p_e	39.421949779396755	0.1	man6p_e	export
112	Acinetobacter	oilspill	1e-06	EX_gthox_e	27.358839688379675	0.1	gthox_e	export
113	Acinetobacter	oilspill	1e-06	EX_mg2_e	-0.0011962759133012923	0.1	mg2_e	import
115	Acinetobacter	oilspill	1e-06	EX_mal__L_e	-15.090595894200902	0.1	mal__L_e	import
116	Acinetobacter	oilspill	1e-06	EX_4abz_e	6.123523121459584e-05	0.1	4abz_e	export
118	Acinetobacter	oilspill	1e-06	EX_val__L_e	-0.0583537185041223	0.1	val__L_e	import
124	Acinetobacter	oilspill	1e-06	EX_ser__D_e	-100.0	0.1	ser__D_e	import
125	Acinetobacter	oilspill	1e-06	EX_ac_e	-69.59160802904763	0.1	ac_e	import
126	Acinetobacter	oilspill	1e-06	EX_gly_e	-0.9004065122929461	0.1	gly_e	import
133	Acinetobacter	oilspill	1e-06	EX_2dhglcn_e	-0.021193182710248948	0.1	2dhglcn_e	import
138	Acinetobacter	oilspill	1e-06	EX_asn__L_e	-0.03324130147325377	0.1	asn__L_e	import
140	Acinetobacter	oilspill	1e-06	EX_5dglcn_e	100.02119318271025	0.1	5dglcn_e	export
144	Acinetobacter	oilspill	1e-06	EX_hxan_e	44.062553778953315	0.1	hxan_e	export
154	Acinetobacter	oilspill	1e-06	EX_pac_e	100.0	0.1	pac_e	export
157	Acinetobacter	oilspill	1e-06	EX_man1p_e	-11.34883755060207	0.1	man1p_e	import
158	Acinetobacter	oilspill	1e-06	EX_pnto__R_e	-7.942996262499946e-05	0.1	pnto__R_e	import
165	Acinetobacter	oilspill	1e-06	EX_uri_e	-0.041963566348499626	0.1	uri_e	import
166	Acinetobacter	oilspill	1e-06	EX_o2_e	-0.016122428584253612	0.1	o2_e	import
168	Acinetobacter	oilspill	1e-06	EX_abt__L_e	-100.0	0.1	abt__L_e	import
169	Acinetobacter	oilspill	1e-06	EX_etoh_e	-100.0	0.1	etoh_e	import
178	Acinetobacter	oilspill	1e-06	EX_k_e	-0.02691696649503683	0.1	k_e	import
181	Acinetobacter	oilspill	1e-06	EX_fum_e	-100.0	0.1	fum_e	import
185	Acinetobacter	oilspill	1e-06	EX_trp__L_e	50.6889862620452	0.1	trp__L_e	export
190	Acinetobacter	oilspill	1e-06	EX_tol_e	-0.00020447790356570295	0.1	tol_e	import
192	Acinetobacter	oilspill	1e-06	EX_ala__L_e	49.27915920126634	0.1	ala__L_e	export
194	Acinetobacter	oilspill	1e-06	EX_his__L_e	-0.013064298267863705	0.1	his__L_e	import
198	Acinetobacter	oilspill	1e-06	EX_cu2_e	-9.777055173287863e-05	0.1	cu2_e	import
200	Acinetobacter	oilspill	1e-06	EX_pro__L_e	-0.030483316658717285	0.1	pro__L_e	import
201	Acinetobacter	oilspill	1e-06	EX_lac__D_e	200.53699338960826	0.1	lac__D_e	export
210	Acinetobacter	oilspill	1e-06	EX_h_e	15.86399345112386	0.1	h_e	export
214	Acinetobacter	oilspill	1e-06	EX_glyb_e	-0.021193182710234737	0.1	glyb_e	import
215	Acinetobacter	oilspill	1e-06	EX_tyr__L_e	0.07653477022437016	0.1	tyr__L_e	export
216	Acinetobacter	oilspill	1e-06	EX_indole_e	0.05116138938888071	0.1	indole_e	export
217	Acinetobacter	oilspill	1e-06	EX_glyc__R_e	200.2339343089659	0.1	glyc__R_e	export
220	Acinetobacter	oilspill	1e-06	EX_ade_e	-0.0036082715328120685	0.1	ade_e	import
224	Acinetobacter	oilspill	1e-06	EX_leu__L_e	-0.06212788282357503	0.1	leu__L_e	import
225	Acinetobacter	oilspill	1e-06	EX_ile__L_e	-0.040063728508915986	0.1	ile__L_e	import
229	Acinetobacter	oilspill	1e-06	EX_cobalt2_e	-1.3789924096840878e-05	0.1	cobalt2_e	import
230	Acinetobacter	oilspill	1e-06	EX_ca2_e	-0.0007177655479608802	0.1	ca2_e	import
233	Acinetobacter	oilspill	1e-06	EX_adn_e	0.03626450167951134	0.1	adn_e	export
238	Acinetobacter	oilspill	1e-06	EX_ala__D_e	-100.0	0.1	ala__D_e	import
248	Acinetobacter	oilspill	1e-06	EX_no2_e	-15.130981598596913	0.1	no2_e	import
